# Session Log (2025-09-23T17:03:50.7217134-07:00)
[17:03:50] PERF[SurfaceRealizationStart:MauiCollection]: target=50
[17:03:50] PERF[SurfaceRealizationStart:WinUIListView]: target=50
[17:03:53] PERF[SurfaceRealization:MauiCollection:50]: 2,768.64 ms
[17:03:53] PERF[SurfaceRealizationSummary:MauiCollection]: count=50 target=50 avg=1,396.00 ms min=267.17 ms max=2,768.64 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:39]: 3,132.32 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:40]: 3,135.69 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:41]: 3,160.98 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:42]: 3,164.12 ms
[17:03:54] PERF[SurfaceRealization:WinUIListView:43]: 3,433.29 ms
[17:03:54] PERF[SurfaceRealization:WinUIListView:44]: 3,436.41 ms
[17:03:54] PERF[SurfaceRealization:WinUIListView:45]: 3,485.08 ms
[17:03:54] PERF[SurfaceRealization:WinUIListView:46]: 3,488.37 ms
[17:03:54] PERF[SurfaceRealization:WinUIListView:47]: 3,731.40 ms
[17:03:54] PERF[SurfaceRealization:WinUIListView:48]: 3,734.95 ms
[17:03:54] PERF[SurfaceRealization:WinUIListView:49]: 3,779.95 ms
[17:03:54] PERF[SurfaceRealization:WinUIListView:50]: 3,782.93 ms
[17:03:54] PERF[SurfaceRealizationSummary:WinUIListView]: count=50 target=50 avg=1,422.88 ms min=31.58 ms max=3,782.93 ms
